Año,Mes,Día,productType,cloudCover,origin,tileId,datastripId,orbitNumber,processingDate,productGroupId,processingLevel,processorVersion,platformShortName,instrumentShortName,relativeOrbitNumber,platformSerialIdentifier,datetime,Nubosidad_Bins,Satelite
2022,10,10,S2MSI2A,32.083842,ESA,18LTP,No disponible,29223,2022-10-10T20:31:30.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[32, 33)",Desconocido
2022,10,10,S2MSI2A,28.189167,ESA,17MQM,No disponible,29223,2022-10-10T20:31:30.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[28, 29)",Desconocido
2022,10,10,S2MSI1C,7.0289654039329,ESA,17LQL,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[7, 8)",Desconocido
2022,10,10,S2MSI1C,63.0112574278121,ESA,18LTQ,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[63, 64)",Desconocido
2022,10,10,S2MSI1C,23.5975751415374,ESA,17MQM,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[23, 24)",Desconocido
2022,10,20,S2MSI2A,26.613671,ESA,18LTP,No disponible,29366,2022-10-20T20:41:47.000000+00:00,GS2B_20221020T152639_029366_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,B,2022-10-20,"[26, 27)",Desconocido
2022,10,15,S2MSI2A,83.154148,ESA,17LRL,No disponible,38203,2022-10-15T21:00:55.000000+00:00,GS2A_20221015T152641_038203_N04.00,S2MSI2A,4.0,SENTINEL-2,MSI,25,A,2022-10-15,"[83, 84)",Desconocido
2022,10,10,S2MSI1C,27.5918318834041,ESA,18LTP,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[27, 28)",Desconocido
2022,10,10,S2MSI1C,42.0163337215205,ESA,17MRM,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[42, 43)",Desconocido
2022,10,10,S2MSI1C,30.7004688106542,ESA,17LRK,No disponible,29223,2022-10-10T20:07:40.000000+00:00,GS2B_20221010T152639_029223_N04.00,S2MSI1C,4.0,SENTINEL-2,MSI,25,B,2022-10-10,"[30, 31)",Desconocido
